[ 2025-03-13 19:53:17,351 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-13 19:53:20,231 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-03-13 19:53:20,232 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-13 19:53:20,232 ] 76 root - INFO - Exporting train and test file path.
[ 2025-03-13 19:53:20,263 ] 85 root - INFO - Exported train and test file path.
[ 2025-03-13 19:53:20,264 ] 22 root - INFO - Data Ingestion Completed
[ 2025-03-13 19:53:20,267 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-13 19:53:20,277 ] 32 root - INFO - Required number of columns:2
[ 2025-03-13 19:53:20,277 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-13 19:53:20,277 ] 32 root - INFO - Required number of columns:2
[ 2025-03-13 19:53:20,277 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-13 19:53:20,351 ] 28 root - INFO - data Validation Completed
[ 2025-03-13 19:53:20,351 ] 31 root - INFO - data Transformation started
[ 2025-03-13 19:53:20,351 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-13 19:53:20,351 ] 65 root - INFO - Starting data transformation
[ 2025-03-13 19:53:20,361 ] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-03-13 19:53:20,361 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-13 19:53:20,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-13 19:53:20,366 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-13 19:53:20,366 ] 35 root - INFO - data Transformation completed
[ 2025-03-13 19:53:20,366 ] 37 root - INFO - Model Training stared
[ 2025-03-13 19:55:56,480 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-13 19:55:56,480 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-13 19:55:56,481 ] 131 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/03_13_2025_19_53_16/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908592321755028, precision_score=0.9900548000811853, recall_score=0.9916649725553974), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9783653846153846, precision_score=0.9705882352941176, recall_score=0.9862681744749596))
[ 2025-03-13 19:55:56,486 ] 42 root - INFO - Model Training artifact created
